brand_name,product_name,price_usd,product_description,ingredients,review_count,country
Anua,7 Rice Ceramide Hydrating Barrier Serum,15.19,"This serum is enriched with rice bran water for brightening and clarifying skin, honey extract for strengthening the skin barrier as well as alpha-arbutin for fading dark spots and hyperpigmentation. The powerful serum is a whiz at rejuvenating dull, tired or lackluster skin. The fragrance-free serum is dermatologically tested to be suitable for all skin types.","['water', ' 1', '2-hexanediol', ' oryza sativa (rice) extract', ' dipropylene glycol\xa0', ' glycerin', ' methylpropanediol\xa0', ' butylene glycol', ' methyl gluceth-10\xa0', ' niacinamide\xa0', 'water', ' hydroxyethyl urea', ' glycerin', 'water', ' caprylic/capric triglyceride', ' hydrogenated lecithin', ' ceramide np', ' panthenol', 'water', 'water', ' polyquatemium-51', ' 1', '2-hexanediol\xa0', 'water', ' 1', '2-hexanediol', ' sodium hyaluronate', ' ethylhexylglycerin', ' tocopherol', 'water', ' butylene glycol', ' 1', '2-hexanediol', ' corchorus olitorius leaf extract\xa0', ' nelumbo nucifera root extract\xa0', ' hibiscus esculentus fruit extract\xa0', ' dioscorea japonica root extract', ' angelica keiskei extract', ' 1', '2-hexanediol', ' pentylene glycol', 'water', ' glycerin', ' 1', '2-hexanediol', ' beta-glucan', ' sodium polyacrylate', 'water', ' carbomer', ' ethylhexylglycerin', ' tocopherol', ' adenosine', ' allantoin', ' sodium phytate', ' xanthan gum', 'alpha arbutin', 'water', ' butylene glycol', ' 1', '2-hexanediol', ' oryza sativa (rice) extract', 'water', ' butylene glycol', ' 1', '2-hexanediol', ' dipropylene glycol', ' oryza sativa (rice) extract', ' hydrolyzed rice protein', ' oryza sativa (rice) seed protein', ' ceramide np', 'water', ' butylene glycol', ' 1', '2-hexanediol', ' defatted rice bran extract', 'alpha arbutin', 'water', ' butylene glycol', ' 1', '2-hexanediol\xa0', ' honey extract', 'water', ' butylene glycol\xa0', ' 1', '2-hexanediol\xa0', ' hyaluronic acid', ' ethylhexylglycerin', ' hydrolyzed hyaluronic acid\xa0', ' sodium hyaluronate', ' zinc stearate', ' oryza sativa (rice) bran', ' defatted rice bran']",1272.0,South Korea
TIRTIR,Collagen Lifting Eye Cream,16.8,"TIRTIR Collagen Firming Eye Cream features a potent 10,000 ppm plant-based collagen complex. The formula includes five peptides to enhance skin elasticity, while niacinamide and adenosine work to reduce the appearance of fine lines. This product has completed skin irritation testing.","['water', ' glycerin', ' butylene glycol', ' 1', '2-hexanediol', ' caprylic/capric triglyceride', ' dipropylene glycol', ' hydrogenated poly(c6-14 olefin)', ' niacinamide', ' methyl trimethicone', ' c12-16 alcohols', ' persea gratissima (avocado) oil', ' chlorella vulgaris extract', ' collagen', ' hydrolyzed corn starch', ' leuconostoc/radish root ferment filtrate', ' theobroma cacao (cocoa) seed extract', 'water', ' aspalathus linearis leaf extract', ' hibiscus sabdariffa flower extract', ' caprylic/capric/myristic/stearic triglyceride', ' squalane', ' palmitic acid', ' hydrogenated lecithin', ' glucose', ' sodium acrylate/sodium acryloyldimethyl taurate copolymer', ' hydroxyacetophenone', ' polyisobutene', ' fructooligosaccharides', ' fructose', ' glyceryl stearate', ' panthenol', ' pentaerythrityl distearate', ' sodium polyacrylate', ' hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', ' ethylhexylglycerin', ' dipotassium glycyrrhizate', ' adenosine', ' sodium phytate', ' caprylyl/capryl glucoside', ' sorbitan oleate', ' sucrose', ' dextrin', ' ascorbic acid polypeptide', ' methylpropanediol', ' tocopherol', ' dipeptide diaminobutyroyl benzylamide diacetate', ' palmitoyl tripeptide-5', ' polysorbate 20', ' palmitoyl tripeptide-1', ' palmitoyl tetrapeptide-7', ' cetearyl alcohol', ' stearyl alcohol', ' cetyl alcohol', ' xanthan gum', ' myristyl alcohol', ' lauryl alcohol', ' carbomer', 'fragrance']",921.0,South Korea
SKIN 1004,Madagascar Centella Tone Brightening Capsule Ampoule Mini,6.5,"Restore radiance in skin with this multifunctional toner offering soothing and brightening effects. It contains MadeWhite™ (made of centella asiatica and niacinamide) to improve skin elasticity and radiance. The formula also contains gentle exfoliants, like papaya and apple extracts, to get rid of dead skin cells for smooth skin.","['water', ' butylene glycol', ' niacinamide', ' glycerin', ' tranexamic acid', ' 1', '2-hexanediol', ' betaine', ' centella asiatica extract', ' zea mays (corn) starch', ' xanthan gum', ' microcrystalline cellulose', ' mannitol', ' panthenol', ' pentylene glycol', ' ethylhexylglycerin', ' hydroxyethylcellulose', ' madecassoside', ' acrylates/c10-30 alkyl acrylate crosspolymer', ' arginine', ' hydrogenated lecithin', ' xylitylglucoside', ' anhydroxylitol', ' xylitol', ' glucose', ' 3-o-ethyl ascorbic acid', ' lactobacillus ferment']",1289.0,South Korea
SKIN 1004,Madagascar Centella Probio-Cica Intensive Ampoule Jumbo,18.0,"Nourishing ampoule contains a high concentration of fermented cica extract to deliver intense moisture and strengthen the skin barrier. Panthenol, betaine and allantoin in the formula provide plumping touches for smooth and hydrated skin. Suitable for sensitive skin. This product is jumbo-sized.","['centella asiatica extract', ' butylene glycol', ' glycerin', 'water', ' propanediol', ' caprylic/capric triglyceride', ' niacinamide', ' lactobacillus/centella asiatica extract ferment filtrate', ' 1', '2-hexanediol', ' dipropylene glycol', ' polyglyceryl-3 distearate', ' acrylates/c10-30 alkyl acrylate crosspolymer', ' c14-22 alcohols', ' arginine', ' hydrogenated lecithin', ' betaine', ' allantoin', ' panthenol', ' hydroxystearic acid', ' ethylhexylglycerin', ' hydroxyethy acrylate/sodium acryloyldimethyl taurate copolymer', ' glyceryl stearate citrate', ' sodium polyacrylate', ' adenosine', ' c12-20 alkyl glucoside', ' cetearyl alcohol', ' xanthan gum', ' macadamia ternifolia seed oil', ' sodium phytate', ' sodium hyaluronate', ' stearic acid', ' ceramide np', ' glyceryl acrylate/acrylic acid copolymer', ' sorbitan lsostearate', ' polyglycery-10 myristate', ' madecassic acid', ' asiaticoside', ' phytosphingosine', ' aslatic acid', ' sucrose distearate', ' polyglutamnic acid', ' glucose', ' lauric acid', ' phytosterols']",3035.0,South Korea
TIRTIR,Milk Skin Toner Jumbo,19.0,,"['water', ' glycerin', ' butylene glycol', ' niacinamide', ' anthemis nobilis flower extract', ' 1', '2-hexanediol', ' caprylyl glycol', ' oryza sativa (rice) bran extract', ' glycyrrhiza glabra (licorice) root extract', ' camellia sinensis leaf extract', ' rosmarinus officinalis (rosemary) leaf extract', ' centella asiatica extract', ' chamomilla recutita (matricaria) flower extract', ' hamamelis virginiana (witch hazel) extract', ' polygonum cuspidatum root extract', ' scutellaria baicalensis root extract', ' betaine', ' panthenol', ' allantoin', ' sodium pca', ' adenosine', ' disodium edta', ' sodium hyaluronate', ' carbomer', ' arginine', ' illicium verum (anise) fruit extract', ' alchemilla vulgaris extract', ' amaranthus caudatus extract', ' olea europaea (olive) leaf extract', ' veronica officinalis extract', ' mentha piperita (peppermint) leaf extract', ' ulmus davidiana root extract', ' cynara scolymus (artichoke) leaf extract', ' avena sativa (oat) kernel extract', ' sambucus nigra flower extract', ' beta-glucan', ' ceramide np', ' chamaecyparis obtusa leaf extract', ' laminaria japonica extract', ' copper tripeptide-1', ' acetyl hexapeptide-8']",2997.0,South Korea
KSECRET,SEOUL 1988 Eye Cream : Retinal Liposome 4% + Fermented Bean,15.4,"Lift under-eye bags and wrinkles with this powerful eye cream formulated with 4% retinal liposome along with soybean ferment extract. Bakuchiol, Vitamin C, Vitamin E and three peptides brighten skin and boost elasticity for anti-wrinkle effects. Packed with five herbal root extracts and five fermented plant extracts for antioxidant benefits. Suitable for all skin types, especially mature skin.","['water', ' glycerin', ' dipropylene glycol', ' caprylic/capric triglyceride', ' 1', '2-hexanediol', ' butylene glycol dicaprylate/dicaprate', ' niacinamide', ' pentaerythrityl tetraethylhexanoate', ' cetearyl alcohol', ' butylene glycol', ' cetearyl olivate', ' sorbitan olivate', ' hydrogenated lecithin', ' macadamia ternifolia seed oil', ' carbomer', ' tromethamine', ' propanediol', ' glyceryl stearate', ' cholesterol', ' polyglyceryl-10 oleate', ' ethylhexylglycerin', ' adenosine', ' brassica campestris (rapeseed) sterols', ' phytosteryl/behenyl/octyldodecyl lauroyl glutamate', ' retinal', ' silica', ' disodium edta', ' aluminum/magnesium hydroxide stearate', ' lactobacillus/panax ginseng root ferment filtrate', ' lactobacillus/rice ferment', 'soybean', ' saccharomyces/coix lacryma-jobi ma-yuen seed ferment filtrate', ' saccharomyces/potato extract ferment filtrate', ' tocopherol', ' potassium cetyl phosphate', ' pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', ' sodium hyaluronate', ' arctium lappa root extract', ' cnidium officinale root extract', ' dioscorea japonica root extract', ' paeonia suffruticosa root extract', ' rehmannia chinensis root extract', ' 3-o-ethyl ascorbic acid', ' bakuchiol', ' sh-oligopeptide-1', ' sh-oligopeptide-2', ' sh-polypeptide-1']",72.0,South Korea
Purito SEOUL,Wonder Releaf Centella Serum Unscented,16.1,"Formerly the Centella Unscented Serum, this newly repackaged version of PURITO’s beloved formula is infused with cica extract for soothing irritation as well as allantoin and peptides for skin-revitalizing boosts. The vegan-friendly formula suits all skin types including sensitive skin. The clinically tested product is fragrance-free.","['water', ' glycerin', ' dipropylene glycol', ' propanediol', ' centella asiatica extract', ' butylene glycol', ' niacinamide', ' 1', '2-hexanediol', ' sodium hyaluronate', ' panthenol', ' madecassoside', ' asiaticoside', ' madecassic acid', ' asiatic acid', ' centella asiatica callus extracellular vesicles', ' allantoin', ' palmitoyl tetrapeptide-7', ' palmitoyl hexapeptide-12', ' palmitoyl tripeptide-1', ' palmitoyl dipeptide-10', ' carbomer', ' polyglyceryl-10 laurate', ' polyglyceryl-10 myristate', ' hydrolyzed jojoba esters', ' tromethamine', ' ethylhexylglycerin', ' xanthan gum', ' dipotassium glycyrrhizate', ' adenosine', ' disodium edta', ' sucrose stearate', ' glyceryl stearate', ' hydrogenated lecithin', ' polyglyceryl-10 stearate', ' ceramide np', ' camellia sinensis leaf extract', ' pancratium maritimum extract']",3668.0,South Korea
SKIN 1004,Madagascar Centella Travel Kit,21.89,"Infused with centella asiatica extract, the five travel-sized products in this portable kit soothe and nourish all skin types during long trips and sleepovers. Gentle yet strong in cleansing power, the Ampoule Foam rids all impurities without drying out skin. The Toning Toner replenishes and brightens skin by gently removing dead skin cells. The Ampoule contains 100% centella asiatica extract that fortifies the skin barrier. Formulated with EWG-certified green grade ingredients only, the Soothing Cream locks in moisture while leaving skin refreshed. The Light Cleansing Oil provides deep cleansing to melt down heavy makeup and sunscreen.","['[ampoule foam] centella asiatica extract', ' sodium cocoyl isethionate', ' glycerine', 'water', ' sodium methyl cocoyl taurate', ' coco-betaine', ' poteassium cocoyl glycinate', ' 1', '2-hexanediol', ' sodium chloride', ' potassium cocoate', ' potassium benzoate', ' polyquaternium-67', ' citric acid', ' dextrin', ' sodium bicarbonate', ' cacao extract', ' disodium edta', ' sodium acetate', ' butylene glycol', ' coptis chinensis root extract', ' sodium hyaluronate', ' eclipta extact', ' coccinia indica fruit extract [toning toner] centella asiatica extract (84%)', 'water', ' dipropylene glycol', ' 1', '2-hexandiol', ' niacinamide', ' glu/conoractone', ' thrometamine', ' carbomer', ' sodium citrate', ' adenosine', ' disodium edta', ' dipotacium glycide', ' betaine', ' hyaluronic acid', ' ethylhexyglycerin [ampoule] centella asiatica (gotu kola) extract 100% [soothing cream] centella asiatica extract (72%)', ' glycerin', ' propanediol', ' dipropylene glycol', ' cyclomethicone', 'water', ' 1', '2-hexanediol', ' trehalose', ' caprylyl methicone', ' c12-14 pareth-12', ' carbomer', ' tromettaurate', ' ammonium acryolymer ', ' c30-45 alkyl cetearyl dimethicone crosspolymer', ' xanthan gum', ' mentha piperita (peppermint) leaf extract', ' zingiber officinale (ginger) root extract', ' butylene glycol', ' ethylhexylglycerin', ' dipotassium glycyrrhizate', ' tranexamic acid', ' coptis chinensis root extract', ' theobroma cacao (cocoa) extract', ' dextrin', ' leuconostoc / radish root ferment filtrate', ' biosaccharide gum-1', ' disodium hyaluronate', ' beta-glucan', ' ceramide eop', ' ceramide ns', ' ceramide np', ' ceramide ap', ' phytosphingosine', ' hydrogenated lecithin', ' cetearyl alcohol', ' stearic acid', ' cholesterol [light cleansing oil] ethylhexyl stearate', ' cetyl ethylhexanoate', ' sorbeth-30 tetraoleate', ' centella asiatica extract', ' helianthus annuus (sunflower) seed oil', ' citrus aurantium bergamia (bergamot) fruit oil', ' olea europaea (olive) fuit oil', ' simmondsia chinensis (jojoba) seed oil', ' ethylhexylglycerin', ' pelargonium graveolens flower oil', ' rosa damascena flower oil']",1881.0,South Korea
SKIN 1004,Madagascar Centella Probio-Cica Enrich Cream,15.0,"This cream is infused with centella asiatica extract to reduce inflammation and calm irritation. Blended with lactobacillus, the formula strengthens a damaged skin barrier and smooths uneven skin texture to reveal a soft and healthy appearance. Formulated with macadamia ternifolia seed oil and moringa oleifera seed oil, the cream moisturizes dry skin. Fragrance-free formula is safe to use on sensitive skin.","['centella asiatica extract', ' glycerin', ' diglycerin', ' 1', '2-hexanediol', ' butylene glycol', ' niacinamide', 'water', ' polyglyceryl-3 distearate', ' caprylic/capric triglyceride', ' neopentyl glycol diheptanoate', ' isostearyl isostearate', ' pentaerythrityl tetraisostearate', ' hydrogenated poly(c6-14 olefin)', ' heptyl undecylenate', ' lactobacillus/centella asiatica extract ferment filtrate', ' bis-diglyceryl polyacyladipate-2', ' glyceryl stearate', ' c14-22 alcohols', ' cetearyl alcohol', ' butyrospermum parkii (shea) butter', ' polyglyceryl-2 stearate', ' sodium acrylate/sodium acryloyldimethyl taurate copolymer', ' glyceryl stearate citrate', ' arginine', ' stearyl alcohol', ' polyisobutene', ' c12-20 alkyl glucoside', ' squalane', ' sodium surfactin', ' sodium polyacrylate', ' acrylates/c10-30 alkyl acrylate crosspolymer', ' carbomer', ' hydroxystearic acid', ' ethylhexylglycerin', ' adenosine', ' hydrogenated lecithin', ' sorbitan oleate', ' caprylyl/capryl glucoside', ' macadamia ternifolia seed oil', ' sodium hyaluronate', ' moringa oleifera seed oil', ' sodium phytate', ' ceramide np', ' dextrin', ' theobroma cacao (cocoa) extract', ' glyceryl acrylate/acrylic acid copolymer', ' polyglyceryl-10 myristate', ' glucose', ' stearic acid', ' phytosphingosine', ' madecassic acid', ' asiaticoside', ' sucrose distearate', ' asiatic acid', ' lauric acid', ' phytosterols', ' polyglutamic acid']",2470.0,South Korea
Abib,Collagen Eye Patch Jericho Rose Jelly,18.4,"Revive tired eyes and reduce puffiness with this eye patch. Packed with vegan collagen, shea butter and peptide, each hydrogel patch leaves the eye area glowing and firm. Boosted with hyaluronic acid, caffeine and ceramide to rejuvenate, energize and hydrate skin.","['water', ' glycerin', ' niacinamide', ' chondrus crispus powder', ' collagen extract', ' 1', '2-hexanediol', ' betaine', ' ceratonia siliqua (carob) gum', ' cyamopsis tetragonoloba (guar) gum', ' hydroxyacetophenone', ' chondrus crispus', ' calcium chloride', ' allantoin', ' butyrospermum parkii (shea) butter', ' propanediol', ' polyglyceryl-10 laurate', ' polyglyceryl-3 methylglucose distearate', ' potassium chloride', ' anastatica', ' hierochuntica extract', ' cellulose gum', ' ricinus communis (castor) seed oil', ' trehalose', ' sucrose', ' caprylyl glycol', ' adenosine', ' ethylhexylglycerin', ' dipotassium glycyrrhizate ', ' sodium hyaluronate', ' caffeine', ' panthenol', ' ceramide np', ' palmitoyl tripeptide-5']",1053.0,South Korea
mixsoon,Centella Cleansing Foam,12.6,"This cleansing foam is anchored in 32.8% cica extract for soothing irritation, salicylic acid for pore care as well and sea algae extract for deep hydration. Lightweight formula is a must-have for anyone with easily irritated skin.","['water', ' sodium cocoyl isethionate', ' glycerin', ' hydroxypropyl starch phosphate', ' sodium methyl cocoyl taurate', ' propanediol', ' potassium cocoyl glycinate', ' acrylates copolymer', ' cetearyl alcohol', ' potassium cocoate', ' sorbitan olivate', 'salicylic acid', ' glycol distearate', ' glyceryl stearate', ' citric acid', ' caprylyl glycol', ' butylene glycol', ' 1', '2-hexanediol', ' glyceryl caprylate', ' centella asiatica extract', ' disodium edta']",852.0,South Korea
EQQUALBERRY,Bakuchiol Plumping Serum,22.49,"This serum features bakuchiol (a natural alternative to retinol) and allantoin to promote collagen production and diminish signs of aging. It’s enriched with five types of ceramides and various peptides to reinforce the skin barrier, lock in moisture and protect skin against external aggressors. The serum also contains niacinamide and glycerin to balance oil and moisture levels while minimizing enlarged pores.","['water', ' butylene glycol', ' glycerin', ' cetyl ethylhexanoate', ' 1', '2-hexanediol', ' niacinamide', ' hydrogenated lecithin', ' pentaerythrityl tetrabehenate', ' diethoxyethyl succinate', ' betaine', ' ceramide np', ' melia azadirachta flower extract', ' hydroxyethyl urea', ' bakuchiol', ' cetearyl alcohol', ' squalane', ' coccinia indica fruit extract', ' panthenol', ' carbomer', ' butyrospermum parkii (shea) butter', ' tromethamine', ' xanthan gum', ' allantoin', ' ethylhexylglycerin', ' 2', '3-butanediol', ' adenosine', ' disodium edta', ' lavandula angustifolia (lavender) oil', ' sodium carboxymethyl beta-glucan', ' glyceryl stearate', ' dipropylene glycol', ' citrus aurantium bergamia (bergamot) fruit oil', ' sodium hyaluronate', ' rubus fruticosus (blackberry) fruit extract', ' vaccinium macrocarpon (cranberry) fruit extract', ' vaccinium angustifolium (blueberry) fruit extract', ' rubus idaeus (raspberry) fruit extract', ' sambucus nigra fruit extract', ' sodium lactate', ' polyglyceryl-10 laurate', ' ceramide ns', ' ceramide as', ' ceramide ap', ' cholesterol', ' salvia officinalis (sage) oil', ' polysorbate 20', ' octyldodecanol', ' polyglyceryl-4 caprate', ' methylpropanediol', ' hydrolyzed hyaluronic acid', ' hydrolyzed sodium hyaluronate', ' hyaluronic acid', ' hydroxypropyltrimonium hyaluronate', ' potassium hyaluronate', ' astaxanthin', ' pentylene glycol', ' sodium hyaluronate crosspolymer', ' palmitoyl tripeptide-1', ' soluble collagen', ' sodium acetylated hyaluronate', ' copper tripeptide-1', ' palmitoyl tetrapeptide-7', ' oligopeptide-32', ' oligopeptide-29', ' acetyl hexapeptide-8', ' ceramide eop', ' acetyl tetrapeptide-2', ' acetyl tetrapeptide-3', ' acetyl octapeptide-3', ' palmitoyl pentapeptide-4', ' oligopeptide-6', ' hexapeptide-9', ' nonapeptide-1', ' limonene', ' linalool']",154.0,South Korea
haruharu wonder,Black Rice Moisture 5.5 Soft Cleansing Gel,11.9,"Amp up cleansing routines with this skin-purifying gel cleanser! Mildly acidic formula rich in coconut-derived surfactants ensures thorough removal of dirt, dead skin cells and impurities, while additional ingredient of fermented black rice extract keeps skin plumped-up and hydrated. Lathers up into a fine, non-irritating foam that is gentle on sensitive skin or those with a delicate skin barrier.","['water', ' glycerin', ' coco-betaine', ' propanediol', ' pentylene glycol', ' sodium chloride', ' 1', '2-hexanediol', ' xanthan gum', ' hydroxyethylcellulose', ' potassium cocoyl glycinate', ' potassium cocoate', ' oryza sativa (rice) extract', ' phyllostachys pubescens shoot bark extract', ' panax ginseng root extract', ' aspergillus ferment extract filtrate', ' beta-glucan', ' butylene glycol', ' trehalose', ' citric acid', ' cyclodextrin', ' zanthoxylum piperitum fruit extract', ' pulsatilla koreana extract', ' usnea barbata (lichen) extract', ' ethylhexylglycerin']",1740.0,South Korea
medicube,PDRN Pink Peptide Serum,20.5,"This anti-aging ampoule enriched with Salmon PDRN, salmon collagen complex and peptides improves skin elasticity, fades blemishes and reduces melanin pigmentation. Niacinamide and turmeric root extract provide brightening and smoothing effects. The ampoule is hypoallergenic and safe to use on sensitive skin.","['water', ' disodium edta', ' niacinamide', ' hydrolyzed collagen', ' sodium dna', ' milt extract', ' copper tripeptide-1', ' acetyl hexapeptide-8', ' palmitoyl pentapeptide-4', ' palmitoyl tripeptide-1', ' palmitoyl tetrapeptide-7', ' butylene glycol', ' 1', '2-hexanediol', ' glycerin', ' dipropylene glycol', ' polyglycerin-3', ' glyceryl acrylate/acrylic acid copolymer', ' pvm/ma copolymer', ' sodium hyaluronate', ' ethylhexylglycerin', ' glycereth-26', ' adenosine', ' acrylates/c10-30 alkyl acrylate crosspolymer', ' isopropyl myristate', ' ubiquinone', 'fragrance', ' caprylyl glycol', ' tromethamine', ' sodium acrylate/sodium acryloyldimethyl taurate copolymer', ' polyisobutene', ' caprylyl/capryl glucoside', ' sorbitan oleate', ' atelocollagen', ' salmon egg extract', ' cyanocobalamin', ' melia azadirachta leaf extract', ' melia azadirachta flower extract', ' curcuma longa (turmeric) root extract', ' ocimum sanctum leaf extract', ' corallina officinalis extract']",943.0,South Korea
numbuzin,No.5 Vitamin Concentrated Serum,20.8,"Revitalize dull skin with this serum packed with antioxidant-rich vitamins to help restore skin’s natural glow. Additional brightening agents including glutathione, niacinamide and alpha-arbutin offer a major radiance boost. Plant extracts from sugarcane, turmeric root and mushroom minimize irritation.","['vaccinium vitis-idaea fruit extract', ' butylene glycol', ' niacinamide', ' panthenol', ' tranexamic acid', 'water', ' 1', '2-hexanediol', ' neopentyl glycol dicaprate', ' caprylic/capric triglyceride', ' sorbitol', ' bifida ferment lysate', ' chondrus crispus extract', ' butyrospermum parkii (shea) butter', ' saccharum officinarum (sugarcane) extract', 'alpha arbutin', ' sodium hyaluronate', ' melia azadirachta flower extract', ' ocimum sanctum leaf extract', ' melia azadirachta leaf extract', ' curcuma longa (turmericjroot extract', ' corallina officinalis extract', ' tremella fuciformis (mushroom) extract', ' pentylene glycol', ' glycerin', ' 3-0-ethyl ascorbic acid', ' bisabolol', ' tromethamine', ' ethylhexylglycerin', ' adenosine', ' hydrogenated lecithin', ' allantoin', ' glutathione', ' ceramide np', ' beta-glucan', ' dipotassium glycyrrhizate', ' tocopherol', ' ascorbic acid', ' ascorbyl glucoside', ' tocopheryl acetate', ' hydroxypropyl cyclodextrin', ' ubiquinone', ' thioctic acid', ' potassium hydroxide', ' behenyl alcohol', ' carbomer', ' xanthan gum', ' disodium edta']",2918.0,South Korea
haruharu wonder,Black Rice Hyaluronic Toner Fragrance Free,12.6,"This version of haruharu wonder’s bestselling Black Rice Hyaluronic Toner is free of alcohol and fragrances. It’s formulated with 95% naturally derived ingredients, including 2,000ppm of Korean black rice extract, plus hyaluronic acid and beta-glucan to provide intense hydration while promoting skin cell regeneration. Toner is made to leave you with a plumped-up finish.","['water', ' betaine', ' glycerin', ' propanediol', ' scutellaria baicalensis root extract', ' oryza sativa (rice) extract(2', '000ppm)', ' phyllostachys pubescens shoot bark extract(2', '000ppm)', ' xanthan gum', ' cellulose gum', ' 1', '2-hexanediol', ' butylene glycol', ' pulsatilla koreana extract', ' zanthoxylum piperitum fruit extract', ' usnea barbata (lichen) extract', ' aspergillus ferment', ' sodium gluconate', ' hyaluronic acid(600ppm)', ' beta-glucan', ' tamarindus indica seed gum', ' panax ginseng root extract', ' glucose', ' cyclodextrin']",4838.0,South Korea
AXIS - Y,Vegan Collagen Eye Serum,17.0,Revive tired-looking eyes with AXIS - Y’s Vegan Collagen Serum. Its signature 6+1+1 formula includes six hydrating and brightening plant-derived ingredients (including jojoba seed oil and green apple extract). Serum is also packed with vegan collagen to target wrinkles and 5-Peptide Complex to enhance skin firmness. It comes in a rollerball dispenser for convenient application.,"['water', ' methylpropanediol', ' glycerin', ' 1', '2-hexanediol', ' niacinamide', ' butylene glycol', ' hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', ' c13-14 alkane', ' sodium acrylic acid/ma copolymer', ' c15-23 alkane', ' ethylhexylglycerin', ' collagen', ' adenosine', ' decyl glucoside', ' prunus mume fruit extract', ' limnanthes alba (meadowfoam) seed oil', ' pyrus malus (apple) fruit extract', ' carica papaya (papaya) fruit extract', ' vitis vinifera (grape) fruit extract', ' leuconostoc/radish root ferment filtrate', ' hydrogenated lecithin', ' helianthus annuus (sunflower) seed oil', ' simmondsia chinensis (jojoba) seed oil', ' ulmus davidiana root extract', ' amaranthus caudatus seed extract', ' ficus carica (fig) fruit extract', ' caprylyl glycol', ' centella asiatica extract', ' polyglyceryl-10 stearate', ' ceramide np', ' sodium hyaluronate', ' tocopherol', ' tripeptide-1', ' palmitoyl pentapeptide-4', ' hydrolyzed hyaluronic acid', ' hexapeptide-9', ' copper tripeptide-1', ' acetyl hexapeptide-8', ' sodium acetylated hyaluronate']",1011.0,South Korea
SKIN 1004,Madagascar Centella Poremizing Light Gel Cream,13.0,"Enriched with Himalayan pink salt, this refreshing gel cream helps remove dead skin cells and excess sebum to unclog pores for clear and refined skin. Additional ingredients of adenosine and aloe vera leaf extract improve skin elasticity, while niacinamide in the mix offers brightening benefits.","['centella asiatica extract(5096%)', 'water', ' propanediol', 'aloe barbadensis leaf juice', ' 1', '2-hexanediol', 'niacinamide', ' glycerin', ' xylitol', ' butylene glycol', ' cabomer', ' tromethamine', ' sodium polyacryloyldimethyl taurate', ' biosaccharide gum-1', ' betaine', ' pvp', ' sedum sarmentosum extract', ' hydrogenated polydecene', ' ethylhexylglycerin', ' adenosine', 'hydroxyethylcellulose', ' coccinia indica fruit extract', ' eclipta prostrata extract', ' hydrolyzed gardenia florida extract', ' hydrolyzed malt extract', ' disodium edta', ' hydrolyzed viola tricolor extract', ' melia azadirachta flower extract', ' ocimum sanctum leaf extract', ' melia azadirachta leaf extract', ' trideceth-10', 'water', ' panthenol', ' curcuma longa (turmeric) root extract', ' hyaluronic acid', ' hydrolyzed hyaluronic acid', ' sodium hyaluronate', ' xylitylglucoside', ' corallina officinalis extract', ' anhydroxylitoll', ' oenothera biennis (evening primrose) flower extract', ' pueraria lobata root extract', 'pinus palustris leaf extract', ' ulmus davidiana root extract', ' castanea crenata (chestnut) shell extract', 'water', ' lavandula angustifolia (lavender) flower extract', 'water', ' chenopodium quinoa seed extract', ' allatoin', ' kaolin', ' mineral salt']",1520.0,South Korea
Dr. Althea,Vitamin C Boosting Serum,21.51,"Perk up lackluster skin with this serum powered by Vita Boosting Complex to brighten skin and tackle hyperpigmentation. The vegan formula contains eight types of hyaluronic acid to keep hydration levels high, as well as allantoin and tocopherol to combat signs of aging.","['water', 'water', ' niacinamide', ' butylene glycol', ' 1', '2-hexanediol', ' dipropylene glycol', 'water', ' methyl gluceth-20', ' methylpropanediol', ' betaine', ' tranexamic acid', ' glycerin', ' pentylene glycol', ' propanediol', ' hydroxyethyl urea', ' laminaria japonica extract', ' eclipta prostrata leaf extract', ' ficus carica (fig) fruit extract', ' centella asiatica extract', ' hydrogenated lecithin', ' sodium hyaluronate', ' carbomer', ' 3-o-ethyl ascorbic acid', ' c12-14 pareth-12', ' ammonium acryloyldimethyltaurate/vp copolymer', ' xanthan gum', ' tromethamine', ' panthenol', ' ethylhexylglycerin', ' adenosine', ' disodium edta', ' fructooligosaccharides', ' beta-glucan', ' ascorbic acid', ' hydrolyzed hyaluronic acid', ' ceramide np', 'alpha arbutin', ' tocopherol', ' bifida ferment lysate', ' bisabolol', ' ubiquinone', ' hydroxydecyl ubiquinone', ' sodium acetylated hyaluronate']",409.0,South Korea
haruharu wonder,Black Rice Moisture Deep Cleansing Oil,17.5,"Simple but powerful, this cleansing oil is formulated with 95% naturally derived plant oils for thorough cleansing and long-lasting hydration. Formula includes skin care superstar Korean black rice bran oil, which comes at 100% concentration and is laden with minerals and proteins for extra skin-strengthening. For a refreshed and revitalizing finish, incorporate into morning and evening routines.","['oryza sativa (rice) bran oil', ' caprylic/capric triglyceride', ' helianthus annuus (sunflower) seed oil', ' olea europaea (olive) fruit oil', ' sorbeth-30 tetraoleate', ' simmondsia chinensis (jojoba) seed oil', ' macadamia integrifolia seed oil', ' tocopherol', ' ethylhexylglycerin']",1861.0,South Korea
